92,Kingdom 2nd Season,TV (39 eps),Jun 2013 - Mar 2014,"39,750 members",8.53,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
93,Kuroko no Basket 2nd Season,TV (25 eps),Oct 2013 - Mar 2014,"306,435 members",8.53,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season
94,Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,"366,528 members",8.53,https://myanimelist.net/anime/32182/Mob_Psycho_100
95,Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"484,587 members",8.53,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
96,Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"42,791 members",8.52,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
97,Nana,TV (47 eps),Apr 2006 - Mar 2007,"235,786 members",8.52,https://myanimelist.net/anime/877/Nana
98,Nichijou,TV (26 eps),Apr 2011 - Sep 2011,"323,974 members",8.52,https://myanimelist.net/anime/10165/Nichijou
99,Baccano!,TV (13 eps),Jul 2007 - Nov 2007,"431,312 members",8.51,https://myanimelist.net/anime/2251/Baccano
100,Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"63,354 members",8.51,https://myanimelist.net/anime/5941/Cross_Game
101,Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"27,032 members",8.51,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
102,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"1,152,312 members",8.51,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
103,Bakuman. 2nd Season,TV (25 eps),Oct 2011 - Mar 2012,"181,108 members",8.50,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
104,No Game No Life: Zero,Movie (1 eps),Jul 2017 - Jul 2017,"115,600 members",8.50,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero
105,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"477,121 members",8.50,https://myanimelist.net/anime/205/Samurai_Champloo
106,Shinsekai yori,TV (25 eps),Sep 2012 - Mar 2013,"355,399 members",8.50,https://myanimelist.net/anime/13125/Shinsekai_yori
107,Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"102,669 members",8.49,https://myanimelist.net/anime/14397/Chihayafuru_2
