rank,name,year,rating,info_link
65,Zaat,1971,            2.5    ,/title/tt0072666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_65
66,Girl in Gold Boots,1968,            2.5    ,/title/tt0174685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_66
67,Chairman of the Board,1998,            2.5    ,/title/tt0118836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_67
68,The Maize: The Movie,2004,            2.5    ,/title/tt0451109/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_68
69,Lawnmower Man 2: Beyond Cyberspace,1996,            2.5    ,/title/tt0116839/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_69
70,The Touch of Satan,1971,            2.5    ,/title/tt0066476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_70
71,Baby Geniuses,1999,            2.6    ,/title/tt0118665/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_71
72,Soultaker,1990,            2.6    ,/title/tt0100665/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_72
73,Ator 2: L'invincibile Orion,1984,            2.6    ,/title/tt0086972/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_73
74,Yûsei ôji,1959,            2.6    ,/title/tt0053464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_74
75,Breaking Wind,2012,            2.6    ,/title/tt1651323/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_75
76,Catalina Caper,1967,            2.6    ,/title/tt0061456/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_76
77,Simon Sez,1999,            2.6    ,/title/tt0168172/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_77
78,Santa Claus Conquers the Martians,1964,            2.6    ,/title/tt0058548/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_78
79,Santa with Muscles,1996,            2.6    ,/title/tt0117550/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_79
80,Dis - en historie om kjærlighet,1995,            2.6    ,/title/tt0112873/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_80
