rank,name,year,rating,info_link
222,Les diaboliques,1955,            8.0    ,/title/tt0046911/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_222
223,Gandhi,1982,            8.0    ,/title/tt0083987/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_223
224,Star Wars: Episode VII - The Force Awakens,2015,            8.0    ,/title/tt2488496/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_224
225,Donnie Darko,2001,            8.0    ,/title/tt0246578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_225
226,"Monsters, Inc.",2001,            8.0    ,/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_226
227,Annie Hall,1977,            8.0    ,/title/tt0075686/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_227
228,The Terminator,1984,            8.0    ,/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228
229,Barry Lyndon,1975,            8.0    ,/title/tt0072684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_229
230,The Bourne Ultimatum,2007,            8.0    ,/title/tt0440963/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_230
231,The Wizard of Oz,1939,            8.0    ,/title/tt0032138/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_231
232,Groundhog Day,1993,            8.0    ,/title/tt0107048/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232
233,La haine,1995,            8.0    ,/title/tt0113247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233
234,8½,1963,            8.0    ,/title/tt0056801/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_234
235,Sholay,1975,            8.0    ,/title/tt0073707/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_235
236,Jaws,1975,            8.0    ,/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_236
237,Twelve Monkeys,1995,            8.0    ,/title/tt0114746/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_237
238,The Best Years of Our Lives,1946,            8.0    ,/title/tt0036868/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_238
239,Mou gaan dou,2002,            8.0    ,/title/tt0338564/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_239
240,"Paris, Texas",1984,            8.0    ,/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_240
241,The Help,2011,            8.0    ,/title/tt1454029/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241
242,Faa yeung nin wa,2000,            8.0    ,/title/tt0118694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242
243,Beauty and the Beast,1991,            8.0    ,/title/tt0101414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243
244,La battaglia di Algeri,1966,            8.0    ,/title/tt0058946/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_244
245,Ah-ga-ssi,2016,            8.0    ,/title/tt4016934/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_245
246,Pirates of the Caribbean: The Curse of the Black Pearl,2003,            8.0    ,/title/tt0325980/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_246
247,Dog Day Afternoon,1975,            8.0    ,/title/tt0072890/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_247
248,Gangs of Wasseypur,2012,            8.0    ,/title/tt1954470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_248
249,PK,2014,            8.0    ,/title/tt2338151/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_249
250,Tenkû no shiro Rapyuta,1986,            8.0    ,/title/tt0092067/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
